Artist,Spotify_Id
Mommy Son,5xWKWXamxbujIdti9xpnI1
YUMDDA,0su5mZ6qhvOUhz7ckEx8rR
Khundi Panda,32wJE7JooXm59HxYhy7caU
lIlBOI (lilboi),25wMXkplvEHJpJHX8A6Ved
Mirani,6N7b9mUVwn885jI7RRg8no
Queen Wa$ABII,5FQWaF32sJ8rXb8aPcj2VI
Zion.T,5HenzRvMtSrgtvU16XAoby
Munchman,7u2Nz7Bj2vbCps9AH5q6do
MUSHVENOM,1UIxKzYZnlJeF9siZ6IE1f
B.A.P.,6kxCoNfY6U1eP0Yc88phvk
F.T. Island,6KhH771vq2X2Aom91nNzpZ
CNBLUE,6dCz3spfpIvqqqsIoP6wXi
DJ Soda,6wcoqJ63l11D2yV9ViqIZA
Jeon Soyeon ,6Xg22wJOAcnvPUfk5WvODH
Cheetah,6ftZYkensUYXNiMM7nFwhE
SURL,7owveHzN1hmQuw6Ojg4sI3
Nell,5WY88tCMFA6J6vqSN3MmDZ
Jaurim,6evmYxFbDSIHilUaYC9MhL
O.O.O,0YMpM4y1fUUHhBLFnYVOaD
Hyukoh,57okaLdCtv3nVBSn5otJkp
Buzz,4SdXXEHKFa5NSoh10QxeN2
Bursters,4RDFOoEvbjMKmt2Lpby1a4
Dasutt,3txAiGYUmI4p84stqOoi1s
Guckkasten,71kRpwy6xTeG2OXXkRJdkA
Uneducated Kid,08KbKkPqaYNFYM9R5eMjuM
homieduel,3PpfvyyncoZ79IgYe0Uls0
Suran,1mORehSVEd7lcaT2d7Sl2K
Jonghyun,5rGgflnIpRNizTCozbYBuY
Seo Taiji and Boys,52Gsa9Zypqztm2DeNkQfCm
Seotaiji,3yj6KT6cRFojlL37psQ1dV
Ailee,3uGFTJ7JMllvhgGpumieHF
LeeHi,7cVZApDoQZpS447nHTsNqu
Paul Kim,4qRXrzUmdy3p33lgvJEzdv
Eric nam,2FLqlgckDKdmpBrvLAT5BM
Akmu,6OwKE9Ez6ALxpTaKcT5ayv
BIBI,6UbmqUEgjLA6jAcXwbM1Z9
Sam Kim,4BBN286rBKyCWsSPq2cxYO
Jamie,2YXlVLKq3X3soXd2aXUtIT
JOY,0sYpJ0nCC8AlDrZFeAA7ub
Jung Seung Hwan,7l8rOFwZFQ3G0sgZ7gjGng
DAVICHI,4z6yrDz5GfKXkeQZjOaZdq
WENDY,0FRUZvZNPzM3YJMABJxf2K
Roy Kim,3ErHVJMsxTq2lLSmnONBm9
Kim Na Young,4dvmLXorXADxVq8EcySEWk
Sohyang,2TCV57G47ttyy1JsVyucXg
Park Boram,6tvrEIVX5eKJlipdzt11wi
Eddy Kim,1sVSMPPNMMSZ7cQNfbvMOe
KIMSEJEONG,1lFLniFTaPjYCtQZvDXpqu
SOYOU,3b4kLCI0ZJW47TFsNRqgCb
Kim Bum Soo,20K5puLWHL28ckI4LjieDt
Sung Si Kyung,7jFUYMpMUBDL4JQtMZ5ilc
Huh Gak,49vOeJAPxAz6YmVZPNM7ys
Hwang Chi Yeul,689wBe4v9rvHjdNB4JUgYq
Baek Ji Young,3l0MJ9LCiBlMyOMaz485Q5
Lyn,1A6WCseWiK22oxqodg7vcy
Kim Tae Woo,5OFQZvle7HH55LvauNmUIi
K.Will,1XNC9ksvgXeD1xRJruSA5t
SG Wannabe,2c3IakpImjWyeXNvyyGsdn
M.C the Max,3MaRWfwKpbYnkYHC5gRKYo
Lee Seung Gi,12AUp9oqeJDhNfO6IhQiNi
Kim Jong Kook,60YNqzrSj7rJkuqHkpHPqG
Lim Changjung,4dB2XmMpzPxsMRnt62TbF5
KCM,2cijK40RWU3ouFUnwW8v3K
Kim Dong Ryul,3zYyfrb4r6ZHI5Di0rB9bV
Ha Dong Qn,7gjNpUcKOWzo2jnN7VsxoQ
Lee Soo Young,6GrRqCT2aRWjPMUmPY8oR5
DJ DOC,3kDgt4vVKGTLmtC3FkOwWF
MC MONG,6gEWl778wJTkq4Uk5eBvgD
LEE SEUNG HWAN,6LPV5KZBc1zBjX8AFZ2WWY
Lee Seung Chul ,5Ecf8RR2UWFAvyeItabffF
2AM,5SnaL8SsjGMHQNyqpa8Zos
LISA,5L1lO4eRHmJ7a0Q6csE5cT
Lee Mujin,4Xj0peBt3EZHbdF20JmdWC
STAYC,01XYiBYaoMJcNhPokrg0l0
BEN,0bDdOBGVCFVt0f8N9ldW1k
Yoon Jong Shin,0hW1muryuCdZLfjoLrUhnw
Shaun,72nLe76yBFSlP6VBzME358
OVAN,4FuRHFtCeoYaeeVDKyyvbS
SEULGI,2QM5S4yO6xHgnNvF0nbZZq
MeloMance,6k4r73Wq8nhkCDoUsECL1e
Han Dong Geun,69K447yK7IW0NCZGEh79e1
Yang Da Il,5DnjOSzLCfn4hDbLECq8pt
John Park,4mbvd7ZJ2goftjy1L33LiB
The Cross,5iWp4nvZ8u0DxQjVIidCuC
BAEKHYUN,4ufh0WuMZh6y4Dmdnklvdl
Lee Hyori,4FjoOJAndC0s9ZJUo6VGc5
J.Y.Park,1TTx0YcbKUtJIZY1HEnh9B
U-KNOW,4lqxrwkJ16gYkKNumLA3SL
SSAK3,2el9LgZHLeQnXHABBkgb7M
Brown Eyed Girls,2GEPtT5RDxrmdi0A4mbDi7
MSG WANNABE,4SpXkyEB20zqPXAPbiv3oK
Brave Girls,7t5H3uQv0Zw6cQUnSTF5BB
Hwasa,7bmYpVgQub656uNTu6qGNQ
DKB,4DoedGw38ubJdAT1edFsIx
Punch,2FgZrgTMX6Sk0VNcOsEPmm
IVE,6RHTUrRF63xao58xh9FXYJ
Mido and Falasol,3lBxyv4EPpiE80Ji1Eyfiq
Yoon Mirae,1Do4bSzfUl0KWL9r1fITu0
Monday Kiz,4EjLdmpJbSfCY2NAfXc4Sb
Yang Dail,6L5ynvSx8rCUdvRfju77Hy
Song Ga In,5t5zmsIdTDRqDeI17tilpd
BamBam,2p48L95TwEaYkSdn6R7LOr
Gummy,3yeGaDllUtsVmgzDeAmpNf
Miyeon,779v40cWIJUUoIDtC1IGaF
Jihyo,7F1iAHRYxR3MY7yAEuFqgL
Sana,4a4zvpQq5Phxr12Pu8Akmm
Samuel Seo,4ZPInhlYlpaCsk1vnHmKBP
Moon Sujin,36MQil20hjOpG5f52NQ4du
Oceanfromtheblue,76eIrOIqck4yuOhrYZGx3a
SOLE,6naXFodImN2DwRmKCQHAUt
YoungK,34HmvZztvxqAo2mBSAieRe
KIM WOO SEOK,4k2MyP64uZ78mvjKd1Ciq2
DPR IAN,2o8gT0fQmFxGNbowbdgeZe
Soovi,0YM7bNxtt0VzccYf1UG2G8
WONHO,6pC3vnUgNVITdYMMXefi6D
JUNNY,0lgENJQUkqkDbpsTYEayOr
YUGYEOM,3ohXmy1PGdB3XgzhPqQ0tY
